,name,figi,ticker,class_code
96,Intralot SA,BBG000DRPZD6,IRLTF,otcus
97,CME GROUP,US12572Q1058,US12572Q1058,SPBXM_OTC
98,Polymetal,BBG004PYF2N3,POLY,TQBR
99,ГДР Лента,BBG000QQPXZ5,LNTA,TQBR
100,Enanta Pharmaceuticals Inc,US29251M1062,US29251M1062,SPBXM_OTC
101,Quoin Pharmaceuticals АДР,TCS00D9PB2L6,QNRX_old,QNRX_old
102,Mettler Toledo,BBG000BZCKH3,MTD,SPBXM
103,TreeHouse Foods Inc,BBG000GQGJT4,THS,SPBXM
104,Navitas Semiconductor,BBG00YQ6KTL4,NVTS,NVTS
105,Bayer,BBGBAYER0000,BBGBAYER0000,BBGBAYER0000
106,Hubbell,BBG000BLK267,HUBB,SPBXM
107,News Corp (A),BBG0035LY913,NWSA,SPBXM
108,La Jolla,BBG000CJLRK9,LJPC,LJPC
109,Alector,BBG00N0PL198,ALEC,SPBXM
110,Qurate Retail Inc - Привилегированные акции,BBG00X28PK32,QRTEP,SPBXM
111,Crane Company,BBG016G0L0Q5,CR,SPBXM
112,Ovid therapeutics Inc,BBG009F0TD76,OVID,OVID
113,Atea Pharmaceuticals,BBG00TZNCJ75,AVIR,SPBXM
114,Petropavlovsk PLC,GB0031544546,GB0031544546,SPBXM_OTC
115,Amphenol,BBG000B9YJ35,APH,SPBXM
116,Нижнекамскнефтехим - акции привилегированные,BBG000GQSVC2,NKNCP,TQBR
117,Avnet,BBG000BCPB71,AVT,SPBXM
118,STAG Industrial REIT,US85254J1025,US85254J1025,SPBXM_OTC
119,Chinook Therapeutics,BBG000DW9ZK5,KDNY,SPBXM
120,Domino's Pizza Inc,BBG000P458P3,DPZ,SPBXM
121,Finance of America Companies,BBG00ZVN6MB0,FOA,FOA
122,ZIM Integrated Shipping Services,BBG00YQ7XR05,ZIM,SPBXM
123,Gray Television Inc,BBG000DSQLQ0,GTN,SPBXM
124,JPMorgan,TCS6625H1005,JPM-RM,FQBR
125,TransUnion,US89400J1079,US89400J1079,SPBXM_OTC
126,DexCom Inc,US2521311074,US2521311074,SPBXM_OTC
127,Citigroup,BBG000FY4S11,C,SPBXM
128,Qudian Inc,BBG00HS39BW6,QD,QD
129,Global Payments,TCS7940X1028,GPN-RM,FQBR
130,Nordson Corp,US6556631025,US6556631025,SPBXM_OTC
131,Soligenix Inc,TCS000FVMHG5,SNGXold,SNGXold
132,CatchMark Timber REIT,BBG005CHGKM1,CTT,nyse
133,Granite Construction Inc,BBG000DVB833,GVA,SPBXM
134,Berry Global Group Inc,US08579W1036,US08579W1036,SPBXM_OTC
135,Ryder System,BBG000BRVP70,R,SPBXM
136,International Paper,BBG000BM5SR2,IP,SPBXM
137,Farfetch Ltd,KY30744W1070,KY30744W1070,SPBXM_OTC
138,ФосАгро,RU000A0JRKT8,RU000A0JRKT8,SPBXM_OTC
139,Consolidated Edison,US2091151041,US2091151041,SPBXM_OTC
140,Kirby Corp,BBG000BMQCP6,KEX,SPBXM
141,Corcept Therapeutics Inc,US2183521028,US2183521028,SPBXM_OTC
142,Aluminum Corp of China,BBG000CMRVH1,ACH,SPBXM
143,Edgewell Personal Care Co,BBG000BRW644,EPC,SPBXM
144,Coupa Software Inc,BBG001J4BCN4,COUP,SPBXM
145,GILEAD,BBG000CKGBP2,GILD,SPBXM
146,Winnebago Industries Inc,BBG000BWS3F3,WGO,SPBXM
147,Amyris,BBG000DW5XK4,AMRS,AMRS
148,CNX Resources Corporation,US12653C1080,US12653C1080,SPBXM_OTC
149,3M Company,US88579Y1010,US88579Y1010,SPBXM_OTC
150,BioCryst Pharmaceuticals,BBG000BLYWX6,BCRX,SPBXM
151,International Paper,US4601461035,US4601461035,SPBXM_OTC
152,Mesa Laboratories Inc,BBG000BP3PW7,MLAB,SPBXM
153,Rheinmetall AG,DE0007030009,DE0007030009,SPBXM_OTC
154,Pre-IPO Airbnb,FAKEFAKE0013,Airbnb,Airbnb
155,Waste Connections,BBG000FLHZZ2,WCN,SPBXM
156,Ebang International Holdings Inc.,TCS00TGMG413,EBON_old,EBON_old
157,Evolus,BBG005CX4HK8,EOLS,EOLS
158,Applied Materials,BBG000BBPFB9,AMAT,SPBXM
159,Inovio Pharmaceuticals,BBG000BK6YX5,INO,SPBXM
160,Hilton,BBG0058KMH30,HLT,SPBXM
161,Snap-on,BBG000BT7JW9,SNA,SPBXM
162,Vontier Corporation,BBG00RRGSJR4,VNT,SPBXM
163,Veeco Instruments,BBG000BDCB28,VECO,VECO
164,Ethan Allen Interiors Inc,BBG000BBVDT8,ETD,SPBXM
165,"Veritone, Inc.",BBG007NJLS39,VERI,VERI
166,Societe Generale SA,BBG000BKVX05,SCGLY,otcus
167,Acumen Pharmaceuticals,BBG0058YJ317,ABOS,ABOS
168,IPO ЕМС USD,ISSUANCEEMCD,ISSUANCEEMCD,ISSUANCEEMCD
169,Morgan Stanley,US6174464486,US6174464486,SPBXM_OTC
170,Organon & Co.,BBG00ZQRGW24,OGN,SPBXM
171,Puma Biotechnology,BBG0018YXYX7,PBYI,PBYI
172,Banco BBVA Argentina SA,BBG000BLLR07,BBAR,BBAR
173,Esperion Therapeutics Inc,US29664W1053,US29664W1053,SPBXM_OTC
174,Bristol-Myers Squibb,BBG000DQLV23,BMY,SPBXM
175,Pfizer,US7170811035,US7170811035,SPBXM_OTC
176,Global Ports Investments PLC,US37951Q2021,US37951Q2021,SPBXM_OTC
177,Sika AG,BBG000BMZXC4,SIKA,swiss
178,Beiersdorf AG,BBG000BBKL21,BEI,BEI
179,Avantor Inc,BBG00G2HHYD7,AVTR,SPBXM
180,Willis Towers Watson,BBG000DB3KT1,WTW,SPBXM
181,Apple Hospitality REIT,BBG006473QX9,APLE,SPBXM
182,Sera Prognostics,BBG001J19ZJ7,SERA,SERA
183,Chemed Corp,BBG000C19QW1,CHE,SPBXM
184,Automatic Data Processing,US0530151036,US0530151036,SPBXM_OTC
185,HD Supply Holdings Inc,BBG0033377Y3,HDS,SPBXM
186,Vivendi SA,BBG000BC0R46,VIV.FP,VIV.FP
187,Macy's,US55616P1049,US55616P1049,SPBXM_OTC
188,AMD,BBG000BBQCY0,AMD,SPBXM
189,"Air Transport Services Group, Inc.",BBG000BLW5F7,ATSG,ATSG
190,Российские сети - акции привилегированные,BBG000KTF667,RSTIP,TQBR
191,"Arcimoto, Inc.",TCS00HQ780X3,FUVold,FUVold
192,Linde,IE000S9YS762,IE000S9YS762,SPBXM_OTC
193,E.ON SE,BBG000BR75Q0,EONGY,EONGY
194,Broadridge Financial Solutions,BBG000PPFKQ7,BR,SPBXM
195,Rusgidro,BBG000VJ03W1,HYDR LI,HYDR LI
196,БМ-Банк,TCS00A1038B8,RU000A1038B8,TQBR
197,Positive Technologies Оферта (1 окно),ISSANCEPOSI1,ISSANCEPOSI1,ISSANCEPOSI1
198,FutureFuel Corp.,BBG000GDSKT7,FF,FF
199,Seanergy Maritime Holdings Corp.,TCS000RNPD67,SHIPold,SHIPold
200,ON Semiconductor Corp,BBG000DV7MX4,ON,SPBXM
201,Travere Therapeutics,BBG000P9D6W9,TVTX,SPBXM
202,CloudFlare Inc,BBG001WMKHH5,NET,SPBXM
203,DuPont de Nemours Inc,US26614N1028,US26614N1028,SPBXM_OTC
204,Bank of New York Mellon,US0640581007,US0640581007,SPBXM_OTC
205,EVRAZ,BBG0027YFYH4,EVZ,EVZ
206,Wolfspeed,US9778521024,US9778521024,SPBXM_OTC
207,ConocoPhillips,US20825C1045,US20825C1045,SPBXM_OTC
208,Corteva Inc,BBG00BN969C1,CTVA,SPBXM
209,TG Therapeutics,BBG000FVZQY1,TGTX,SPBXM
210,Cadence BanCorp,BBG00BZSZZD5,CADE_old,CADE_old
211,VK,TCS403172082,US5603172082,US5603172082_RZI
212,CoStar Group Inc,BBG000D7JKW9,CSGP,SPBXM
213,Antares Pharma,BBG000N8K8B4,ATRS US,ATRS US
214,FirstEnergy,US3379321074,US3379321074,SPBXM_OTC
215,"AYRO, Inc",BBG000F4HP82,AYRO,AYRO
216,Tractor Supply,BBG000BLXZN1,TSCO,SPBXM
217,Kimball International Inc,BBG000BMLG72,KBAL,KBAL
218,Spotify Technology SA,BBG003T4VFC2,SPOT,SPBXM
219,Papa John's International Inc,BBG000BFWF13,PZZA,SPBXM
220,Grifols SA,BBG001QMCKF6,GRFS,GRFS
221,Imperial Brands,BBG000HH0JM7,IMB,IMB
222,Insulet Corp,BBG000R7XX87,PODD,SPBXM
223,Atlanticus Holdings,BBG000C6TLC1,ATLC,ATLC
224,Monte Rosa Therapeutics,BBG00X2VGZQ3,GLUE,GLUE
225,Камчатскэнерго - привилегированные акции,BBG000J5X8M9,KCHEP,TQBR
226,АДР KE Hold,BBG00W9L9LX1,BEKE,BEKE
227,Carvana Co,US1468691027,US1468691027,SPBXM_OTC
228,Xenia Hotels & Resorts REIT,BBG006YP1L41,XHR,XHR
229,Toll Brothers Inc,US8894781033,US8894781033,SPBXM_OTC
230,Kinder Morgan,US49456B1017,US49456B1017,SPBXM_OTC
231,Synchronoss Technologies Inc,BBG000Q4SFZ0,SNCR,SNCR
232,Halliburton,BBG000BKTFN2,HAL,SPBXM
233,Go-Ahead Group PLC,BBG000CCYLF9,GOG,GOG
234,Dollar General,BBG000NV1KK7,DG,SPBXM
235,AMC Entertainment Holdings - привилегированные акции,US00165C2035,US00165C2035,SPBXM_OTC
236,Acuity Brands,US00508Y1029,US00508Y1029,SPBXM_OTC
237,Qurate Retail Inc,US74915M1009,US74915M1009,SPBXM_OTC
238,X5 RetailGroup ГДР,TCS0387E2054,FIVE@GS,SPBXM
239,Digital Ally,BBG019CJKQJ4,DGLY,DGLY
240,ОАО GTL,BBG0045X2HW8,GTLC,TQPI
241,Dillard's Inc,BBG000BS4MP5,DDS,SPBXM
242,CIRCOR International Inc,BBG000C37Q68,CIR,CIR
243,"GXO Logistics, Inc.",BBG00YDGX945,GXO,SPBXM
244,Worthington Industries Inc,US9818111026,US9818111026,SPBXM_OTC
245,RH,BBG002293PJ4,RH,SPBXM
246,BorgWarner,BBG000BJ49H3,BWA,SPBXM
247,PNC Financial Services,BBG000BRD0D8,PNC,SPBXM
248,Dow Inc,BBG00BN96922,DOW,SPBXM
249,Muenchener Rueckversicherungs-Gesellschaft AG,BBG000BD9FD1,MUV2@DE,SPBDE
250,Sachem Capital Corp.,BBG00F48C2K4,SACH,SACH
251,Westwater Resources,BBG000C04VB0,WWR,WWR
252,ФосАгро,TCS00A0JRKT8,PHOR,SPEQ
253,SPAC VPC Impact Acquisition Holdings,TCS00XRJ7Y40,VIH,VIH
254,Zogenix Inc,BBG000VDC3G9,ZGNX,SPBXM
255,Vaxart Inc,BBG000DR0RZ7,VXRT,SPBXM
256,Americold Realty Trust REIT,US03064D1081,US03064D1081,SPBXM_OTC
257,LCI Industries,BBG000DNLMB0,LCII,SPBXM
258,Team,BBG000BVCV15,TISI,TISI
259,Periphas Capital Partnering Corp,BBG00YGNC450,PCPC,PCPC
260,BE Semiconductor Industries NV,BBG000FT9SV4,BESI,BESI
261,Pre-IPO DJI,ISSUANCEDJII,ISSUANCEDJII,ISSUANCEDJII
262,Packaging Corp of America,US6951561090,US6951561090,SPBXM_OTC
263,AAR Corp,US0003611052,US0003611052,SPBXM_OTC
264,Hain Celestial Group Inc,BBG000BQW085,HAIN,SPBXM
265,C4 Therapeutics,BBG00BV2Y9B7,CCCC,CCCC
266,Agree Realty REIT,BBG000BC9DK0,ADC,ADC
267,Iron Mountain REIT,BBG000KCZPC3,IRM,SPBXM
268,MercadoLibre Inc,US58733R1023,US58733R1023,SPBXM_OTC
269,Sinopec Shanghai Petrochemical,BBG000BCHHM0,338,SPBHKEX
270,"Hibbett, Inc.",US4285671016,US4285671016,SPBXM_OTC
271,Macquarie Infrastructure Corp,BBG000M34GG1,MIC,MIC
272,Marine Products Corp,BBG000BC0955,MPX,MPX
273,Fate Therapeutics Inc,BBG000QP35H2,FATE,SPBXM
274,Lucid Group,US5494981039,US5494981039,SPBXM_OTC
275,GEA Group AG,BBG000BSV6W2,G1A,G1A
276,SelectQuote,BBG000GTP1B6,SLQT,SPBXM
277,Ford,BBG000BQPC32,F,SPBXM
278,Rallybio,BBG011PFKF54,RLYB,RLYB
279,Syneos Health Inc,BBG0078Y1D92,SYNH,SPBXM
280,REVOLUTION Medicines Inc,US76155X1000,US76155X1000,SPBXM_OTC
281,American Superconductor,BBG000CP3D44,AMSC US,AMSC US
282,АДР Gravity Co. Ltd.,BBG000QSHJR0,GRVY,GRVY
283,Woodward Inc,US9807451037,US9807451037,SPBXM_OTC
284,"ChemoCentryx, Inc",BBG000PTSB12,CCXI,SPBXM
285,ABM Industries,BBG000B9YYH7,ABM,SPBXM
286,AMN Healthcare Services Inc,US0017441017,US0017441017,SPBXM_OTC
287,Austerlitz Acquisition Corporation II,BBG00Z9CHXZ7,ASZ,ASZ
288,Ikena Oncology,BBG00XZY4TG9,IKNA,IKNA
289,AT&T,TCS0206R1023,T-RM,FQBR
290,Watsco Inc,BBG000DJN7L9,WSO,SPBXM
291,Total System Services,BBG000C1JTL6,TSS,SPBXM
292,Kone Oyj,BBG000C3VY91,KNEBV,KNEBV
293,Latam Airlines Group S.A.,BBG000JJBNH6,LTMAQ,LTMAQ
294,Humana,BBG000BLKK03,HUM,SPBXM
295,Rivian Automotive,BBG00741Y1N2,RIVN,SPBXM
296,BioMarin Pharmaceutical Inc,US09061G1013,US09061G1013,SPBXM_OTC
297,Haier Smart Home,BBG00Y6QRDM9,6690,SPBHKEX
298,NGM Biopharmaceuticals Inc,BBG001J1BNT0,NGM,NGM
299,Cullen/Frost Bankers,US2298991090,US2298991090,SPBXM_OTC
300,China Mobile,BBG000BZWNT2,941,SPBHKEX
301,Ally Financial Inc,US02005N1000,US02005N1000,SPBXM_OTC
302,AmerisourceBergen Corp,BBG000MDCQC2,ABC,SPBXM
303,DermTech,US24984K1051,US24984K1051,SPBXM_OTC
304,Central Garden & Pet Co,BBG000KTYB56,CENTA,SPBXM
305,Corning,US2193501051,US2193501051,SPBXM_OTC
306,CEL SCI Corporation,BBG000H5G6L5,CVM,SPBXM
307,Telephone & Data Systems Inc,US8794338298,US8794338298,SPBXM_OTC
308,AGCO Corp,US0010841023,US0010841023,SPBXM_OTC
309,Edwards Lifesciences,BBG000BRXP69,EW,SPBXM
310,HEXO Corp,TCS10G9J3624,HEXOold,HEXOold
311,Sistema PJSFC,BBG000G7B4C2,SSA@GS,SPBXM
312,IGM Biosciences Inc,BBG00PNR1BT2,IGMS,SPBXM
313,Prothena Corporation,IE00B91XRN20,IE00B91XRN20,SPBXM_OTC
314,"АДР Nomura Holdings, Inc.",BBG000BZPXB7,NMR,NMR
315,Sanofi,BBG000BBD5N1,SNY,SPBXM
316,Kala Pharmaceuticals Inc,BBG001J2MVT8,KALA,KALA
317,IPO Toast,ISSUANCETOST,ISSUANCETOST,ISSUANCETOST
318,Nubank,KYG6683N1034,KYG6683N1034,SPBXM_OTC
319,Cassava Sciences,US14817C1071,US14817C1071,SPBXM_OTC
320,Upstart Holdings,US91680M1071,US91680M1071,SPBXM_OTC
321,Allegiant Travel Co,US01748X1028,US01748X1028,SPBXM_OTC
322,NIO Inc,BBG00LPXZB46,NIO,nyse
323,Fulgent Genetics,BBG00DR7LTG2,FLGT,SPBXM
324,Genuine Parts,US3724601055,US3724601055,SPBXM_OTC
325,Barclays,BBG000C04D57,BARC,BARC
326,Immuneering,BBG009QXJQS1,IMRX,IMRX
327,Vanda Pharmaceuticals Inc,US9216591084,US9216591084,SPBXM_OTC
328,Wolters Kluwer N.V.,BBG000BCHRW7,WKL,WKL
329,Bank of Hawaii,BBG000C8D8G9,BOH,SPBXM
330,Technip Energies N.V.,BBG00Z9D5GD9,TE,SPBXM
331,TCS Group,TCS2238U2033,US87238U2033,US87238U2033_RZI
332,АДР Woodside Petroleum,BBG000BSYPK0,WOPEY,WOPEY
333,Pontem Corp,BBG00YPZQGD2,PNTM,PNTM
334,Marathon Digital Holdings,US5657881067,US5657881067,SPBXM_OTC
335,PhosAgro ГДР,TCS1922G4073,US71922G4073,US71922G4073
336,KKR Acquisition Holdings I Corp,BBG00Z61SYW3,KAHC,KAHC
337,Box Inc,US10316T1043,US10316T1043,SPBXM_OTC
338,DexCom Inc,BBG000QTF8K1,DXCM,SPBXM
339,Inmobiliaria Colonial SA,BBG000BR8552,COL,COL
340,BOEING,TCS970231058,BA-RM,FQBR
341,Костромская сбытовая компания,BBG000DBV7S0,KTSB,TQBR
342,Vector Group,BBG000CXKKZ8,VGR,nyse
343,SPAC Trebia Acquisition Corp,BBG00V76KZV6,TREB,TREB
344,First American Financial Corporation,BBG000V78V75,FAF,SPBXM
345,Titan Machinery,BBG000RWSF05,TITN,TITN
346,Казмунайгаз,TCSC00001122,KMG@KT,SPBKZ
347,Artivion,BBG000BMLVJ6,AORT,SPBXM
348,Neos Therapeutics Inc,BBG0029006R2,NEOS,NEOS
349,Xerox,US98421M1062,US98421M1062,SPBXM_OTC
350,Корпорация ИРКУТ,BBG000FWGSZ5,IRKT,TQBR
351,Benefitfocus,BBG0053Z92V9,BNFT,BNFT
352,Ovintiv Inc.,BBG00R2NHQ65,OVV,SPBXM
353,Smartsheet Inc,US83200N1037,US83200N1037,SPBXM_OTC
354,Valaris Limited,BBG010JW9K49,VAL,SPBXM
355,Asbury Automotive Group Inc,US0434361046,US0434361046,SPBXM_OTC
356,"BJs Wholesale Club Holdings, Inc.",BBG00FQ8T4G3,BJ,SPBXM
357,iRobot Corp,BBG000HXJB21,IRBT,SPBXM
358,Vulcan Materials,BBG000BWGYF8,VMC,SPBXM
359,NetApp,BBG000FP1N32,NTAP,SPBXM
360,МРСК Волги,BBG000PKWCQ7,MRKV,TQBR
361,Atlassian,US0494681010,US0494681010,SPBXM_OTC
362,Scotts Miracle-Gro Co The,BBG000BT5PG5,SMG,SPBXM
363,Ambev SA,BBG000BN5VZ4,ABEV,ABEV
364,Ideaya Biosciences Inc,BBG00CTZ4D83,IDYA,IDYA
365,Fresh Tracks Therapeutics,TCS000BGN354,BBI_old,BBI_old
366,Pacira BioSciences Inc,US6951271005,US6951271005,SPBXM_OTC
367,"ALLETE, Inc.",BBG000CYW7N5,ALE,SPBXM
368,Booz Allen Hamilton,BBG000R2YFG7,BAH,SPBXM
369,Coherent Inc,BBG000BG1DH3,COHRold,SPBXM
370,Adverum Biotechnologies Inc,BBG006D9MR17,ADVM,ADVM
371,Adidas,BBGADIDAS001,ADS,ADS
372,Watsco Inc,US9426222009,US9426222009,SPBXM_OTC
373,The Lovesac Company,BBG000QYVKN2,LOVE,LOVE
374,Werner Enterprises Inc,US9507551086,US9507551086,SPBXM_OTC
375,Ekso Bionics Holdings,BBG002Z0NKK4,EKSO,EKSO
376,Cedar Fair LP,BBG000BJZZX3,FUN,FUN
377,Deutsche Post AG,DE0005552004,DE0005552004,SPBXM_OTC
378,pre-IPO Didi,ISSUANCEDIDI,ISSUANCEDIDI,ISSUANCEDIDI
379,Assa Abloy AB,BBG000RBVBF0,ASAZY,ASAZY
380,Gevo,US3743964062,US3743964062,SPBXM_OTC
381,Schneider Electric SE,BBG000BBWCH2,SU FP,SU FP
382,Bitauto Holdings Ltd,BBG0018BZ8Y1,BITA,BITA
383,CBRE Group,US12504L1098,US12504L1098,SPBXM_OTC
384,iQIYI Inc,BBG00K6DZBD3,IQ,nasdaq
385,Ellington Residential Mortgage,BBG004DFMB77,EARN,EARN
386,Wal-Mart Stores,BBG000BWXBC2,WMT,SPBXM
387,Sarepta Therapeutics Inc,US8036071004,US8036071004,SPBXM_OTC
388,Tyson Foods,BBG000DKCC19,TSN,SPBXM
389,"Recursion Pharmaceuticals, Inc.",BBG00PQ4XJ45,RXRX,SPBXM
390,IPO СПБ Биржа,ISSUANCESPBE,ISSUANCESPBE,ISSUANCESPBE
391,Eversource Energy,US30040W1080,US30040W1080,SPBXM_OTC
392,BlackRock,US09247X1019,US09247X1019,SPBXM_OTC
393,HP,BBG000KHWT55,HPQ,SPBXM
394,Surgutneftegas ADR,BBG000NNC0N4,SGGD LI,lse
395,GameStop Corp,BBG000BB5BF6,GME,nyse
396,Seacoast Banking Corp of Flori,US8117078019,US8117078019,SPBXM_OTC
397,Nutrien,BBG00JM9XLN6,NTR,SPBXM
398,American Outdoor Brands Inc,BBG00QV8FS02,AOUT,SPBXM
399,Royal Gold,BBG000BS5170,RGLD,SPBXM
400,Ouster,US68989M2026,US68989M2026,SPBXM_OTC
401,Paymentus Holdings,BBG010MW0N84,PAY,SPBXM
402,Sage Therapeutics Inc,BBG0025X16Y5,SAGE,SPBXM
403,BigCommerce Holdings,BBG00W1PSSJ0,BIGC,SPBXM
404,Alliant Energy,US0188021085,US0188021085,SPBXM_OTC
405,Genpact Limited,BBG000RQBFV2,G,SPBXM
406,Corning,BBG000BKFZM4,GLW,SPBXM
407,Westlake Corporation,BBG000PXZFW2,WLK,SPBXM
408,Turtle Beach Corp,BBG000BM6N47,HEAR,SPBXM
409,Essex Bio-Technology,BBG000JHS2L3,1061,SPBHKEX
410,Anaplan Inc,BBG002DZS299,PLAN,SPBXM
411,"BankUnited, Inc.",US06652K1034,US06652K1034,SPBXM_OTC
412,Host Hotels & Resorts REIT,US44107P1049,US44107P1049,SPBXM_OTC
413,Absci,BBG011N54CJ8,ABSI,ABSI
414,Qurate Retail Inc,BBG000PCQQL6,QRTEA,SPBXM
